timestamp,heart_rate,heart_rmssd
1594981769000,0,0
1594982069000,0,0
1594982369000,0,0
1594982669000,66,49
1594982969000,64,52
1594983269000,0,0
1594983569000,0,0
1594983869000,0,0
1594984169000,0,0
1594984469000,0,0
1594984769000,0,0
1594985069000,63,68
1594985369000,59,69
1594985669000,0,0
1594985969000,58,90
1594986269000,61,80
1594986569000,60,73
1594986869000,66,41
1594987169000,66,33
1594987469000,64,52
1594987769000,0,0
1594988069000,0,0
1594988369000,0,0
1594988669000,0,0
1594988969000,0,0
1594989269000,0,0
1594989569000,0,0
1594989869000,0,0
1594990169000,0,0
1594990469000,0,0
1594990769000,0,0
1594991069000,59,65
1594991369000,58,61
1594991669000,64,30
1594991969000,62,58
1594992269000,62,42
1594992569000,65,29
1594992869000,0,0
1594993169000,0,0
1594993469000,59,74
1594993769000,0,0
1594994069000,58,76
1594994369000,58,73
1594994669000,58,63
1594994969000,57,69
1594995269000,57,74
1594995569000,58,69
1594995869000,57,70
1594996169000,57,76
1594996469000,58,68
1594996769000,56,82
1594997069000,56,121
1594997369000,57,112
1594997669000,0,0
1594997969000,61,53
1594998269000,58,66
1594998569000,61,50
1594998869000,0,0
1594999169000,0,0
1594999469000,64,60
1594999769000,0,0
1595000069000,0,0
1595000369000,58,87
1595000669000,0,0
1595000969000,60,75
1595001269000,60,66
1595001569000,0,0
1595001869000,59,73
1595002169000,59,69
1595002469000,58,81
1595002769000,58,66
1595003069000,0,0
1595003369000,57,71
1595003669000,61,73
1595003969000,60,68
1595004269000,0,0
1595004569000,59,75
1595004869000,0,0
1595005169000,0,0
1595005469000,0,0
1595005769000,0,0
1595006069000,0,0
1595006369000,0,0
1595006669000,0,0
1595006969000,0,0
1595007269000,0,0
1595007569000,59,59
1595007869000,0,0
1595008169000,0,0
1595008469000,0,0
1595008769000,0,0
1595009069000,0,0
1595009369000,0,0
1595009669000,0,0
1595009969000,0,0
1595010269000,0,0
1595063432000,0,0
1595063732000,0,0
1595064032000,0,0
1595064332000,69,40
1595064632000,67,47
1595064932000,68,40
1595065232000,66,47
1595065532000,66,46
1595065832000,71,49
1595066132000,62,34
1595066432000,60,33
1595066732000,60,40
1595067032000,61,44
1595067332000,60,52
1595067632000,64,54
1595067932000,60,55
1595068232000,59,60
1595068532000,61,54
1595068832000,62,47
1595069132000,62,56
1595069432000,61,72
1595069732000,65,48
1595070032000,63,38
1595070332000,61,49
1595070632000,62,42
1595070932000,60,55
1595071232000,61,45
1595071532000,59,47
1595071832000,59,47
1595072132000,58,50
1595072432000,57,61
1595072732000,57,58
1595073032000,60,56
1595073332000,0,0
1595073632000,0,0
1595073932000,0,0
1595074232000,62,62
1595074532000,64,39
1595074832000,62,46
1595075132000,63,43
1595075432000,62,38
1595075732000,62,55
1595076032000,0,0
1595076332000,0,0
1595076632000,0,0
1595076932000,59,57
1595077232000,58,63
1595077532000,57,64
1595077832000,56,63
1595078132000,58,68
1595078432000,57,73
1595078732000,60,59
1595079032000,58,68
1595079332000,61,66
1595079632000,62,37
1595079932000,68,18
1595080232000,61,58
1595080532000,0,0
1595080832000,62,54
1595081132000,59,60
1595081432000,58,66
1595081732000,59,63
1595082032000,59,58
1595082332000,59,65
1595082632000,59,70
1595082932000,59,63
1595083232000,60,56
1595083532000,58,68
1595083832000,58,68
1595084132000,59,71
1595084432000,56,67
1595084732000,62,44
1595085032000,65,33
1595085332000,66,30
1595085632000,59,62
1595085932000,59,64
1595086232000,62,47
1595086532000,62,47
1595086832000,68,22
1595087132000,60,81
1595087432000,61,67
1595087732000,62,56
1595088032000,61,82
1595088332000,60,75
1595088632000,61,75
1595088932000,60,80
1595089232000,60,71
1595089532000,58,57
1595089832000,58,65
1595090132000,0,0
1595090432000,58,77
1595090732000,59,84
1595091032000,61,60
1595091332000,60,70
1595091632000,63,55
1595091932000,66,44
1595092232000,64,51
1595092532000,0,0
1595156353000,0,0
1595156653000,67,45
1595156953000,66,46
1595157253000,67,44
1595157553000,65,48
1595157853000,64,54
1595158153000,67,65
1595158453000,64,48
1595158753000,62,52
1595159053000,62,58
1595159353000,61,60
1595159653000,61,58
1595159953000,0,0
1595160253000,61,62
1595160553000,62,54
1595160853000,63,50
1595161153000,63,47
1595161453000,64,47
1595161753000,63,44
1595162053000,62,47
1595162353000,60,53
1595162653000,60,59
1595162953000,59,64
1595163253000,60,80
1595163553000,61,75
1595163853000,58,82
1595164153000,59,77
1595164453000,59,50
1595164753000,57,54
1595165053000,57,70
1595165353000,57,82
1595165653000,55,68
1595165953000,57,67
1595166253000,64,41
1595166553000,67,24
1595166853000,61,65
1595167153000,61,58
1595167453000,58,76
1595167753000,59,65
1595168053000,59,65
1595168353000,59,67
1595168653000,58,76
1595168953000,59,72
1595169253000,59,72
1595169553000,58,72
1595169853000,59,70
1595170153000,58,73
1595170453000,59,78
1595170753000,57,90
1595171053000,61,72
1595171353000,61,59
1595171653000,59,62
1595171953000,59,71
1595172253000,57,52
1595172553000,58,53
1595172853000,57,79
1595173153000,58,69
1595173453000,59,65
1595173753000,0,0
1595174053000,58,85
1595174353000,55,87
1595174653000,58,73
1595174953000,60,52
1595175253000,62,69
1595175553000,62,54
1595175853000,67,41
1595176153000,64,56
1595176453000,61,68
1595176753000,61,75
1595177053000,0,0
1595177353000,61,74
1595177653000,62,54
1595235940000,0,0
1595236240000,0,0
1595236540000,0,0
1595236840000,65,54
1595237140000,62,60
1595237440000,62,66
1595237740000,62,65
1595238040000,60,73
1595238340000,60,74
1595238640000,60,73
1595238940000,60,74
1595239240000,60,75
1595239540000,61,66
1595239840000,65,64
1595240140000,64,50
1595240440000,63,56
1595240740000,63,65
1595241040000,63,49
1595241340000,62,55
1595241640000,62,57
1595241940000,61,60
1595242240000,61,64
1595242540000,60,63
1595242840000,59,60
1595243140000,58,71
1595243440000,62,63
1595243740000,58,73
1595244040000,58,76
1595244340000,59,73
1595244640000,57,80
1595244940000,58,77
1595245240000,57,78
1595245540000,57,81
1595245840000,57,83
1595246140000,56,83
1595246440000,56,88
1595246740000,58,84
1595247040000,61,65
1595247340000,63,44
1595247640000,65,41
1595247940000,61,78
1595248240000,60,79
1595248540000,60,71
1595248840000,58,68
1595249140000,59,69
1595249440000,59,75
1595249740000,0,0
1595250040000,0,0
1595250340000,0,0
1595250640000,0,0
1595250940000,0,0
1595251240000,53,91
1595251540000,53,90
1595251840000,56,84
1595252140000,56,87
1595252440000,53,87
1595252740000,56,111
1595253040000,54,115
1595253340000,0,0
1595253640000,55,111
1595253940000,59,75
1595254240000,61,56
1595254540000,59,75
1595254840000,58,80
1595255140000,64,30
1595255440000,57,89
1595255740000,59,60
1595256040000,58,90
1595256340000,56,85
1595256640000,0,0
1595256940000,0,0
1595257240000,0,0
1595257540000,0,0
1595257840000,0,0
1595258140000,0,0
1595258440000,0,0
1595258740000,0,0
1595259040000,55,92
1595259340000,60,54
1595259640000,63,48
1595259940000,58,81
1595260240000,60,86
1595260540000,57,97
1595260840000,56,90
1595261140000,57,105
1595261440000,57,83
1595261740000,55,70
1595262040000,57,89
1595262340000,59,80
1595262640000,57,91
1595262940000,58,82
1595263240000,59,78
1595263540000,59,77
1595263840000,60,77
1595264140000,61,71
1595264440000,61,71
1595264740000,58,76
1595265040000,64,55
1595265340000,64,58
1595265640000,65,52
1595265940000,63,59
1595266240000,63,59
1595266540000,66,58
1595266840000,63,64
1595267140000,64,52
1595267440000,65,51
1595267740000,64,57
1595268040000,62,61
1595268340000,63,56
1595268640000,63,63
1595268940000,65,64
1595269240000,66,49
1595269540000,0,0
1595323750000,0,0
1595324050000,64,66
1595324350000,63,55
1595324650000,64,54
1595324950000,65,54
1595325250000,66,49
1595325550000,65,52
1595325850000,65,57
1595326150000,64,61
1595326450000,64,58
1595326750000,63,61
1595327050000,63,65
1595327350000,64,66
1595327650000,62,69
1595327950000,63,59
1595328250000,63,63
1595328550000,59,65
1595328850000,58,56
1595329150000,59,57
1595329450000,60,52
1595329750000,59,53
1595330050000,59,63
1595330350000,61,62
1595330650000,61,59
1595330950000,62,70
1595331250000,61,53
1595331550000,61,52
1595331850000,61,51
1595332150000,64,52
1595332450000,65,32
1595332750000,62,55
1595333050000,63,53
1595333350000,61,54
1595333650000,60,59
1595333950000,58,88
1595334250000,57,94
1595334550000,56,77
1595334850000,55,90
1595335150000,56,89
1595335450000,56,75
1595335750000,55,76
1595336050000,56,75
1595336350000,56,75
1595336650000,57,69
1595336950000,60,69
1595337250000,57,88
1595337550000,60,55
1595337850000,62,51
1595338150000,63,46
1595338450000,62,50
1595338750000,59,51
1595339050000,60,52
1595339350000,59,60
1595339650000,57,82
1595339950000,57,79
1595340250000,58,80
1595340550000,55,87
1595340850000,57,72
1595341150000,59,77
1595341450000,56,89
1595341750000,60,70
1595342050000,57,76
1595342350000,56,88
1595342650000,62,43
1595342950000,64,52
1595343250000,61,58
1595343550000,62,53
1595343850000,61,58
1595344150000,64,44
1595344450000,69,22
1595344750000,63,52
1595345050000,60,61
1595345350000,62,47
1595345650000,59,92
1595345950000,59,81
1595346250000,59,77
1595346550000,59,80
1595346850000,58,82
1595347150000,58,85
1595347450000,58,81
1595347750000,58,78
1595348050000,59,87
1595348350000,60,84
1595348650000,58,85
1595348950000,57,92
1595349250000,61,63
1595349550000,61,65
1595349850000,63,65
1595350150000,62,46
1595350450000,61,53
1595350750000,62,48
1595351050000,62,49
1595351350000,59,73
1595351650000,58,77
1595351950000,58,67
1595352250000,61,88
1595352550000,61,77
1595352850000,61,57
1595353150000,58,86
1595353450000,63,52
1595353750000,62,58
1595354050000,65,46
1595354350000,62,70
1595354650000,0,0
1595354950000,0,0
1595355250000,65,46
1595355550000,0,0
1595355850000,0,0
1595356150000,0,0
1595410537000,0,0
1595410837000,71,47
1595411137000,71,45
1595411437000,73,42
1595411737000,68,44
1595412037000,66,51
1595412337000,65,55
1595412637000,63,60
1595412937000,63,69
1595413237000,62,62
1595413537000,62,52
1595413837000,60,69
1595414137000,59,75
1595414437000,0,0
1595414737000,0,0
1595415037000,0,0
1595415337000,0,0
1595415637000,59,74
1595415937000,60,55
1595416237000,59,61
1595416537000,58,64
1595416837000,0,0
1595417137000,59,73
1595417437000,58,75
1595417737000,58,81
1595418037000,58,81
1595418337000,57,80
1595418637000,56,91
1595418937000,56,99
1595419237000,57,91
1595419537000,56,68
1595419837000,54,64
1595420137000,55,72
1595420437000,56,81
1595420737000,58,82
1595421037000,59,69
1595421337000,65,41
1595421637000,65,38
1595421937000,65,41
1595422237000,62,59
1595422537000,57,94
1595422837000,55,100
1595423137000,56,85
1595423437000,55,85
1595423737000,55,97
1595424037000,55,78
1595424337000,55,85
1595424637000,55,85
1595424937000,55,87
1595425237000,55,98
1595425537000,56,98
1595425837000,56,99
1595426137000,56,104
1595426437000,56,109
1595426737000,56,98
1595427037000,56,96
1595427337000,55,95
1595427637000,58,71
1595427937000,56,93
1595428237000,57,89
1595428537000,60,57
1595428837000,58,90
1595429137000,57,103
1595429437000,58,92
1595429737000,60,74
1595430037000,59,87
1595430337000,59,86
1595430637000,58,98
1595430937000,56,87
1595431237000,56,93
1595431537000,56,86
1595431837000,56,92
1595432137000,56,97
1595432437000,60,63
1595432737000,58,81
1595433037000,57,93
1595433337000,58,88
1595433637000,58,66
1595433937000,59,83
1595434237000,60,65
1595434537000,59,62
1595434837000,63,62
1595435137000,62,59
1595435437000,60,59
1595435737000,60,81
1595436037000,60,65
1595436337000,60,75
1595436637000,60,75
1595436937000,61,90
1595437237000,58,70
1595437537000,59,87
1595437837000,59,85
1595438137000,59,87
1595438437000,60,84
1595438737000,60,79
1595439037000,61,83
1595439337000,58,77
1595439637000,58,77
1595439937000,55,85
1595440237000,58,81
1595440537000,60,65
1595440837000,61,73
1595441137000,61,64
1595441437000,59,70
1595441737000,0,0
1595494708000,0,0
1595495008000,0,0
1595495308000,0,0
1595495608000,0,0
1595495908000,0,0
1595496208000,0,0
1595496508000,0,0
1595496808000,0,0
1595497108000,60,63
1595497408000,60,62
1595497708000,59,68
1595498008000,59,72
1595498308000,60,63
1595498608000,61,59
1595498908000,60,66
1595499208000,62,56
1595499508000,61,62
1595499808000,63,67
1595500108000,0,0
1595500408000,0,0
1595500708000,57,66
1595501008000,57,78
1595501308000,57,83
1595501608000,56,85
1595501908000,57,80
1595502208000,57,89
1595502508000,57,85
1595502808000,57,77
1595503108000,57,75
1595503408000,57,85
1595503708000,55,76
1595504008000,58,76
1595504308000,61,49
1595504608000,58,82
1595504908000,57,66
1595505208000,57,71
1595505508000,58,80
1595505808000,0,0
1595506108000,56,96
1595506408000,0,0
1595506708000,0,0
1595507008000,0,0
1595507308000,57,82
1595507608000,56,75
1595507908000,56,79
1595508208000,57,84
1595508508000,53,96
1595508808000,54,96
1595509108000,0,0
1595509408000,59,66
1595509708000,56,83
1595510008000,56,93
1595510308000,55,92
1595510608000,58,80
1595510908000,58,85
1595511208000,62,55
1595511508000,56,84
1595511808000,55,88
1595512108000,54,96
1595512408000,55,91
1595512708000,53,87
1595513008000,54,86
