timestamp,heart_rate,heart_rmssd
1580296561000,0,0
1580296861000,0,0
1580297161000,57,101
1580297461000,57,120
1580297761000,56,121
1580298061000,56,120
1580298361000,56,125
1580298661000,56,130
1580298961000,55,122
1580299261000,55,131
1580299561000,55,127
1580299861000,55,140
1580300161000,55,124
1580300461000,56,136
1580300761000,61,90
1580301061000,64,45
1580301361000,62,60
1580301661000,59,88
1580301961000,56,104
1580302261000,56,105
1580302561000,55,109
1580302861000,56,111
1580303161000,56,106
1580303461000,57,104
1580303761000,53,66
1580304061000,53,60
1580304361000,53,73
1580304661000,53,78
1580304961000,54,81
1580305261000,53,83
1580305561000,52,87
1580305861000,57,75
1580306161000,57,76
1580306461000,58,65
1580306761000,57,63
1580307061000,55,107
1580307361000,54,101
1580307661000,55,95
1580307961000,54,98
1580308261000,55,82
1580308561000,55,90
1580308861000,56,81
1580309161000,57,82
1580309461000,58,91
1580309761000,55,128
1580310061000,62,95
1580310361000,66,55
1580310661000,65,67
1580310961000,63,70
1580311261000,61,65
1580311561000,60,78
1580311861000,61,79
1580312161000,63,61
1580312461000,63,56
1580312761000,63,55
1580313061000,61,75
1580313361000,56,94
1580313661000,55,85
1580313961000,55,90
1580314261000,55,98
1580314561000,55,87
1580314861000,55,107
1580315161000,54,100
1580315461000,54,109
1580315761000,55,96
1580316061000,56,93
1580316361000,57,75
1580316661000,62,48
1580316961000,63,52
1580317261000,58,96
1580317561000,58,100
1580317861000,60,72
1580371021000,59,67
1580371321000,59,58
1580371621000,58,75
1580371921000,56,91
1580372221000,55,69
1580372521000,54,72
1580372821000,55,69
1580373121000,55,59
1580373421000,55,60
1580373721000,55,63
1580374021000,55,62
1580374321000,55,66
1580374621000,56,69
1580374921000,56,61
1580375221000,56,64
1580375521000,59,95
1580375821000,68,64
1580376121000,71,44
1580376421000,68,60
1580376721000,56,66
1580377021000,53,70
1580377321000,53,82
1580377621000,52,93
1580377921000,52,85
1580378221000,53,98
1580378521000,53,105
1580378821000,53,90
1580379121000,53,110
1580379421000,55,102
1580379721000,53,82
1580380021000,51,79
1580380321000,52,71
1580380621000,60,86
1580380921000,60,77
1580381221000,57,94
1580381521000,54,78
1580381821000,52,75
1580382121000,52,71
1580382421000,52,62
1580382721000,52,63
1580383021000,52,61
1580383321000,53,77
1580383621000,52,72
1580383921000,52,70
1580384221000,52,103
1580384521000,52,101
1580384821000,49,87
1580385121000,56,86
1580385421000,62,74
1580385721000,57,126
1580386021000,56,98
1580386321000,52,100
1580386621000,50,98
1580386921000,50,94
1580387221000,51,112
1580387521000,51,104
1580387821000,51,97
1580388121000,51,105
1580388421000,51,120
1580388721000,51,110
1580389021000,51,113
1580389321000,48,107
