timestamp,heart_rate,heart_rmssd
1595068068000,0,0
1595068368000,60,152
1595068668000,60,168
1595068968000,61,156
1595069268000,57,146
1595069568000,57,136
1595069868000,56,149
1595070168000,56,142
1595070468000,59,143
1595070768000,0,0
1595071068000,58,156
1595071368000,56,155
1595071668000,56,169
1595071968000,55,166
1595072268000,54,151
1595072568000,60,137
1595072868000,55,171
1595073168000,57,208
1595073468000,57,217
1595073768000,0,0
1595074068000,0,0
1595074368000,61,135
1595074668000,63,133
1595074968000,63,126
1595075268000,63,128
1595075568000,53,200
1595075868000,0,0
1595076168000,0,0
1595076468000,0,0
1595076768000,53,201
1595077068000,53,199
1595077368000,65,163
1595077668000,55,203
1595077968000,53,201
1595078268000,0,0
1595078568000,56,223
1595078868000,57,163
1595079168000,52,190
1595079468000,53,193
1595079768000,52,194
1595080068000,53,197
1595080368000,52,203
1595080668000,51,202
1595080968000,58,157
1595081268000,0,0
1595081568000,0,0
1595081868000,0,0
1595082168000,57,183
1595082468000,55,205
1595082768000,56,206
1595083068000,56,214
1595083368000,50,229
1595083668000,52,207
1595083968000,50,206
1595084268000,49,223
1595084568000,57,186
1595084868000,59,180
1595085168000,51,255
1595085468000,51,244
1595085768000,53,228
1595086068000,57,206
1595086368000,49,189
1595086668000,48,189
1595086968000,0,0
1595087268000,0,0
1595087568000,0,0
1595087868000,58,143
1595088168000,58,169
1595088468000,62,154
1595088768000,57,175
1595089068000,60,161
1595089368000,58,176
1595089668000,60,151
1595089968000,57,182
1595090268000,51,166
1595090568000,52,193
1595090868000,50,215
1595091168000,51,214
1595091468000,50,203
1595091768000,56,187
1595092068000,52,183
1595092368000,52,196
1595092668000,0,0
1595092968000,51,218
1595093268000,0,0
1595093568000,58,139
1595093868000,55,165
1595094168000,0,0
1595094468000,57,166
1595094768000,0,0
1595095068000,61,149
1595095368000,56,171
1595095668000,0,0
1595095968000,0,0
1595096268000,0,0
1595096568000,58,184
1595096868000,0,0
1595097168000,0,0
1595097468000,0,0
1595097768000,0,0
1595098068000,0,0
1595098368000,54,172
1595098668000,52,159
1595098968000,53,149
1595099268000,0,0
1595099568000,0,0
1595099868000,0,0
1595100168000,0,0
1595100468000,51,164
1595100768000,0,0
1595101068000,0,0
1595101368000,0,0
1595101668000,0,0
1595101968000,65,121
1595102268000,55,134
1595102568000,54,128
1595102868000,68,131
1595103168000,81,62
1595103468000,0,0
1595103768000,69,139
1595104068000,0,0
1595156910000,0,0
1595157210000,64,141
1595157510000,62,157
1595157810000,60,157
1595158110000,58,158
1595158410000,57,147
1595158710000,58,153
1595159010000,62,129
1595159310000,57,126
1595159610000,56,143
1595159910000,57,166
1595160210000,57,171
1595160510000,57,181
1595160810000,62,147
1595161110000,59,142
1595161410000,62,146
1595161710000,64,121
1595162010000,70,57
1595162310000,63,119
1595162610000,58,178
1595162910000,54,165
1595163210000,52,185
1595163510000,52,164
1595163810000,54,171
1595164110000,53,120
1595164410000,54,150
1595164710000,55,174
1595165010000,54,164
1595165310000,55,156
1595165610000,56,169
1595165910000,69,117
1595166210000,58,169
1595166510000,55,179
1595166810000,56,177
1595167110000,55,156
1595167410000,60,136
1595167710000,64,105
1595168010000,61,113
1595168310000,65,95
1595168610000,61,129
1595168910000,61,128
1595169210000,57,156
1595169510000,56,164
1595169810000,55,152
1595170110000,55,169
1595170410000,56,171
1595170710000,57,176
1595171010000,0,0
1595171310000,54,212
1595171610000,56,199
1595171910000,56,190
1595172210000,56,192
1595172510000,61,161
1595172810000,60,128
1595173110000,57,141
1595173410000,60,115
1595173710000,58,156
1595174010000,65,115
1595174310000,59,149
1595174610000,65,98
1595174910000,69,84
1595175210000,59,142
1595175510000,57,140
1595175810000,56,128
1595176110000,56,145
1595176410000,55,150
1595176710000,56,133
1595177010000,56,143
1595177310000,57,130
1595177610000,61,142
1595177910000,55,188
1595178210000,57,168
1595178510000,57,174
1595178810000,59,163
1595179110000,65,106
1595179410000,60,124
1595179710000,62,123
1595180010000,60,137
1595180310000,63,123
1595180610000,64,100
1595180910000,62,113
1595181210000,60,138
1595181510000,60,153
1595181810000,59,158
1595182110000,60,142
1595182410000,76,81
1595182710000,59,114
1595183010000,56,132
1595183310000,57,127
1595183610000,72,108
1595183910000,65,122
1595184210000,59,133
1595184510000,64,137
1595184810000,61,126
1595185110000,0,0
1595185410000,68,105
1595185710000,64,129
1595186010000,63,119
1595243790000,74,113
1595244090000,72,103
1595244390000,68,87
1595244690000,70,95
1595244990000,71,99
1595245290000,68,115
1595245590000,69,104
1595245890000,70,102
1595246190000,69,90
1595246490000,68,103
1595246790000,67,107
1595247090000,73,108
1595247390000,63,127
1595247690000,59,131
1595247990000,59,135
1595248290000,62,126
1595248590000,66,115
1595248890000,64,109
1595249190000,66,87
1595249490000,64,128
1595249790000,61,141
1595250090000,61,147
1595250390000,61,138
1595250690000,61,164
1595250990000,56,168
1595251290000,58,163
1595251590000,57,194
1595251890000,59,153
1595252190000,0,0
1595252490000,61,174
1595252790000,56,187
1595253090000,61,153
1595253390000,60,148
1595253690000,58,155
1595253990000,59,140
1595254290000,61,114
1595254590000,63,108
1595254890000,64,108
1595255190000,61,153
1595255490000,65,91
1595255790000,66,82
1595256090000,65,93
1595256390000,60,148
1595256690000,59,175
1595256990000,58,170
1595257290000,61,163
1595257590000,58,197
1595257890000,57,164
1595258190000,53,178
1595258490000,55,165
1595258790000,53,190
1595259090000,53,202
1595259390000,0,0
1595259690000,52,218
1595259990000,0,0
1595260290000,68,117
1595260590000,54,182
1595260890000,54,176
1595261190000,54,187
1595261490000,58,164
1595261790000,55,172
1595262090000,60,141
1595262390000,61,118
1595262690000,68,110
1595262990000,63,121
1595263290000,58,182
1595263590000,57,176
1595263890000,57,188
1595264190000,57,173
1595264490000,58,168
1595264790000,57,186
1595265090000,62,168
1595265390000,59,156
1595265690000,56,153
1595265990000,55,158
1595266290000,57,147
1595266590000,58,152
1595266890000,61,121
1595267190000,0,0
1595267490000,0,0
1595267790000,68,101
1595268090000,59,158
1595268390000,58,177
1595268690000,56,154
1595268990000,53,156
1595269290000,53,171
1595269590000,58,150
1595269890000,59,142
1595270190000,70,84
1595270490000,0,0
1595270790000,55,142
1595271090000,54,153
1595271390000,57,150
1595271690000,0,0
1595271990000,0,0
1595330490000,68,112
1595330790000,63,146
1595331090000,64,150
1595331390000,65,133
1595331690000,62,148
1595331990000,59,156
1595332290000,58,166
1595332590000,58,163
1595332890000,58,166
1595333190000,56,151
1595333490000,54,150
1595333790000,53,152
1595334090000,52,182
1595334390000,54,161
1595334690000,55,160
1595334990000,56,161
1595335290000,57,167
1595335590000,57,160
1595335890000,56,162
1595336190000,52,167
1595336490000,52,170
1595336790000,53,167
1595337090000,55,205
1595337390000,50,199
1595337690000,51,188
1595337990000,51,197
1595338290000,52,200
1595338590000,52,207
1595338890000,52,205
1595339190000,53,182
1595339490000,54,171
1595339790000,53,179
1595340090000,50,189
1595340390000,49,184
1595340690000,52,195
1595340990000,54,158
1595341290000,55,164
1595341590000,56,150
1595341890000,57,153
1595342190000,56,171
1595342490000,0,0
1595342790000,62,120
1595343090000,59,156
1595343390000,61,126
1595343690000,54,220
1595343990000,59,185
1595344290000,49,207
1595344590000,48,222
1595344890000,50,215
1595345190000,54,202
1595345490000,51,192
1595345790000,52,181
1595346090000,55,168
1595346390000,50,182
1595346690000,51,185
1595346990000,56,181
1595347290000,55,199
1595347590000,52,214
1595347890000,59,188
1595348190000,60,143
1595348490000,60,143
1595348790000,60,158
1595349090000,63,112
1595349390000,64,124
1595349690000,58,172
1595349990000,58,166
1595350290000,0,0
1595350590000,60,177
1595350890000,56,155
1595351190000,53,177
1595351490000,53,186
1595351790000,53,183
1595352090000,0,0
1595352390000,53,174
1595352690000,54,171
1595352990000,54,160
1595353290000,73,120
1595353590000,63,147
1595353890000,62,158
1595354190000,56,181
1595354490000,60,132
1595354790000,61,131
1595355090000,57,146
1595355390000,54,172
1595355690000,59,127
1595355990000,0,0
1595356290000,58,142
1595356590000,69,112
1595356890000,63,133
1595357190000,54,165
1595357490000,54,159
1595357790000,55,151
1595358090000,0,0
1595358390000,0,0
1595358690000,0,0
1595358990000,59,139
1595359290000,55,142
1595359590000,59,126
1595359890000,58,139
1595360190000,63,117
1595360490000,63,123
1595360790000,65,110
1595361090000,73,49
1595416142000,0,0
1595416442000,0,0
1595416742000,0,0
1595417042000,61,124
1595417342000,58,161
1595417642000,56,152
1595417942000,56,141
1595418242000,56,153
1595418542000,57,143
1595418842000,57,153
1595419142000,58,165
1595419442000,57,156
1595419742000,57,136
1595420042000,52,142
1595420342000,53,155
1595420642000,53,169
1595420942000,54,157
1595421242000,55,147
1595421542000,56,136
1595421842000,56,144
1595422142000,55,186
1595422442000,58,169
1595422742000,59,130
1595423042000,55,138
1595423342000,55,167
1595423642000,59,125
1595423942000,56,132
1595424242000,53,145
1595424542000,54,198
1595424842000,49,190
1595425142000,51,176
1595425442000,51,177
1595425742000,54,181
