timestamp,heart_rate,heart_rmssd
1595661998000,0,0
1595662298000,54,107
1595662598000,52,94
1595662898000,50,84
1595663198000,52,65
1595663498000,55,79
1595663798000,56,77
1595664098000,56,78
1595664398000,57,84
1595664698000,59,60
1595664998000,53,61
1595665298000,54,66
1595665598000,53,86
1595665898000,48,88
1595666198000,51,132
1595666498000,55,104
1595666798000,51,107
1595667098000,54,62
1595667398000,57,60
1595667698000,59,52
1595667998000,59,52
1595668298000,58,51
1595668598000,55,74
1595668898000,58,56
1595669198000,59,69
1595669498000,60,32
1595669798000,59,64
1595670098000,61,50
1595670398000,0,0
1595670698000,51,80
1595670998000,52,67
1595671298000,52,68
1595671598000,57,66
1595671898000,60,34
1595672198000,60,28
1595672498000,59,32
1595672798000,58,42
1595673098000,56,86
1595673398000,0,0
1595673698000,52,98
1595673998000,55,126
1595674298000,54,131
1595674598000,0,0
1595674898000,0,0
1595675198000,58,93
1595675498000,56,104
1595675798000,58,57
1595676098000,55,94
1595676398000,52,79
1595676698000,53,93
1595676998000,52,117
1595677298000,51,80
1595677598000,49,52
1595677898000,50,48
1595678198000,50,50
1595678498000,50,51
1595678798000,51,52
1595679098000,51,59
1595679398000,51,51
1595679698000,0,0
1595679998000,0,0
1595680298000,0,0
1595680598000,0,0
1595680898000,0,0
1595681198000,0,0
1595681498000,0,0
1595681798000,48,68
1595682098000,49,82
1595682398000,49,74
1595682698000,0,0
1595682998000,50,74
1595683298000,50,62
1595683598000,50,57
1595683898000,50,64
1595684198000,49,71
1595684498000,50,65
1595684798000,50,98
1595685098000,46,124
1595685398000,48,113
1595685698000,44,90
1595685998000,0,0
1595686298000,0,0
1595686598000,0,0
1595686898000,0,0
1595687198000,0,0
1595687498000,48,82
1595687798000,49,75
1595688098000,48,103
1595688398000,48,78
1595688698000,49,80
1595688998000,0,0
1595689298000,47,110
1595689598000,47,109
1595689898000,0,0
1595690198000,49,44
1595690498000,49,39
1595690798000,49,57
1595691098000,50,43
1595691398000,49,49
1595691698000,0,0
1595691998000,0,0
1595692298000,0,0
1595692598000,0,0
1595692898000,0,0
1595693198000,0,0
1595693498000,0,0
1595693798000,0,0
1595694098000,0,0
1595694398000,0,0
1595694698000,0,0
1595751234000,0,0
1595751534000,0,0
1595751834000,0,0
1595752134000,0,0
1595752434000,0,0
1595752734000,0,0
1595753034000,0,0
1595753334000,57,69
