timestamp,heart_rate,heart_rmssd
1582708528000,72,74
1582708828000,64,79
1582709128000,61,97
1582709428000,58,88
1582709728000,57,82
1582710028000,55,74
1582710328000,55,86
1582710628000,56,83
1582710928000,57,94
1582711228000,57,81
1582711528000,56,81
1582711828000,57,92
1582712128000,62,103
1582712428000,61,106
1582712728000,62,100
1582713028000,63,107
1582713328000,60,100
1582713628000,57,98
1582713928000,59,70
1582714228000,59,71
1582714528000,58,71
1582714828000,58,73
1582715128000,58,73
1582715428000,58,74
1582715728000,58,111
1582716028000,57,89
1582716328000,55,81
1582716628000,55,101
1582716928000,54,99
1582717228000,54,98
1582717528000,54,90
1582717828000,58,112
1582718128000,55,137
1582718428000,61,121
1582718728000,59,114
1582719028000,61,101
1582719328000,62,110
1582719628000,57,134
1582719928000,60,104
1582720228000,60,85
1582720528000,57,101
1582720828000,58,101
1582721128000,58,100
1582721428000,58,85
1582721728000,58,81
1582722028000,58,80
1582722328000,59,84
1582722628000,59,87
1582722928000,59,96
1582723228000,60,88
1582723528000,65,77
1582723828000,63,96
1582724128000,61,93
1582724428000,61,93
1582724728000,59,95
1582725028000,58,104
1582725328000,57,98
1582725628000,58,94
1582725928000,58,108
1582726228000,59,117
1582726528000,59,99
1582726828000,57,117
1582727128000,59,87
1582727428000,58,108
1582727728000,56,125
1582728028000,58,130
1582728328000,58,117
1582728628000,58,110
1582728928000,62,80
1582729228000,61,75
1582729528000,63,73
1582729828000,63,75
1582730128000,62,78
1582730428000,61,90
1582730728000,60,97
1582731028000,59,87
1582731328000,61,91
1582731628000,61,107
1582731928000,61,118
1582732228000,58,115
1582732528000,62,98
1582732828000,0,0
1582796967000,0,0
1582797267000,0,0
1582797567000,0,0
1582797867000,0,0
1582798167000,0,0
1582798467000,0,0
1582798767000,0,0
1582799067000,0,0
1582799367000,0,0
1582799667000,0,0
1582799967000,0,0
1582800267000,0,0
1582800567000,0,0
1582800867000,0,0
1582801167000,0,0
1582801467000,0,0
1582801767000,0,0
1582802067000,0,0
1582802367000,0,0
1582802667000,0,0
1582802967000,0,0
1582803267000,0,0
1582803567000,0,0
1582803867000,0,0
1582804167000,0,0
1582804467000,0,0
1582804767000,0,0
1582805067000,0,0
1582805367000,0,0
1582805667000,0,0
1582805967000,0,0
1582806267000,0,0
1582806567000,0,0
1582806867000,0,0
1582807167000,0,0
1582807467000,0,0
1582807767000,0,0
1582808067000,0,0
1582808367000,0,0
1582808667000,0,0
1582808967000,0,0
1582809267000,0,0
1582809567000,0,0
1582809867000,0,0
1582810167000,0,0
1582810467000,0,0
1582810767000,0,0
1582811067000,0,0
1582811367000,0,0
1582811667000,59,161
1582811967000,0,0
1582812267000,58,154
1582812567000,54,127
1582812867000,59,140
1582813167000,62,115
1582813467000,0,0
1582813767000,0,0
1582814067000,0,0
1582814367000,0,0
1582814667000,0,0
1582814967000,0,0
1582815267000,0,0
1582815567000,60,123
1582815867000,58,125
1582816167000,57,120
1582816467000,56,167
1582816767000,56,161
1582817067000,58,159
1582817367000,59,119
1582817667000,60,110
1582817967000,59,113
1582818267000,59,93
1582818567000,58,106
1582818867000,57,95
1582819167000,60,108
1582819467000,0,0
1582881962000,70,75
1582882262000,64,90
1582882562000,61,81
1582882862000,60,74
