timestamp,heart_rate,heart_rmssd
1584345456000,0,0
1584345756000,65,107
1584346056000,62,109
1584346356000,59,115
1584346656000,61,102
1584346956000,62,103
1584347256000,61,102
1584347556000,65,85
1584347856000,66,81
1584348156000,63,102
1584348456000,63,101
1584348756000,65,84
1584349056000,67,74
1584349356000,63,91
1584349656000,67,73
1584349956000,66,83
1584350256000,69,57
1584350556000,74,50
1584350856000,77,20
1584351156000,74,35
1584351456000,70,45
1584351756000,68,47
1584352056000,67,51
1584352356000,67,60
1584352656000,68,59
1584352956000,69,63
1584353256000,68,61
1584353556000,64,89
1584353856000,59,128
1584354156000,60,116
1584354456000,65,90
1584354756000,60,126
1584355056000,63,112
1584355356000,60,146
1584355656000,59,160
1584355956000,59,173
1584356256000,65,129
1584356556000,59,173
1584356856000,56,185
1584357156000,55,158
1584357456000,54,141
1584357756000,54,116
1584358056000,53,112
1584358356000,53,115
1584358656000,53,115
1584358956000,53,114
1584359256000,52,118
1584359556000,53,124
1584359856000,53,124
1584360156000,53,132
1584360456000,52,139
1584360756000,51,152
1584361056000,54,147
1584361356000,55,157
1584361656000,57,168
1584361956000,57,162
1584362256000,56,141
1584362556000,53,132
1584362856000,53,132
1584363156000,53,150
1584363456000,53,147
1584363756000,53,151
1584364056000,56,115
1584364356000,53,118
1584364656000,54,112
1584364956000,53,118
1584365256000,55,146
1584365556000,60,119
1584365856000,63,85
1584366156000,62,93
1584366456000,59,131
1584366756000,53,180
1584367056000,56,178
1584367356000,56,191
1584367656000,56,185
1584367956000,54,159
1584368256000,52,144
1584368556000,52,137
1584368856000,52,148
1584369156000,57,146
1584369456000,61,111
1584369756000,52,139
1584370056000,52,119
1584370356000,56,117
1584370656000,53,130
1584370956000,53,132
1584371256000,53,129
1584371556000,61,130
1584371856000,63,108
1584372156000,60,113
1584372456000,61,148
1584372756000,60,133
1584373056000,58,145
1584373356000,53,134
1584373656000,54,137
1584373956000,60,140
1584374256000,53,131
1584374556000,52,134
1584374856000,53,147
1584375156000,61,137
1584375456000,60,126
1584375756000,57,145
1584376056000,59,128
1584376356000,60,131
1584376656000,60,160
1584376956000,61,180
1584377256000,59,172
1584377556000,59,160
1584377856000,52,156
1584378156000,68,119
1584378456000,65,111
1584378756000,58,117
1584379056000,57,112
1584379356000,64,102
1584379656000,59,138
1584379956000,57,122
1584380256000,61,121
1584380556000,56,127
1584380856000,62,132
1584381156000,54,125
1584381456000,54,125
1584381756000,54,112
1584382056000,54,109
1584382356000,58,120
1584382656000,63,112
1584382956000,66,100
1584383256000,69,78
1584383556000,66,104
1584383856000,70,100
1584384156000,64,111
1584384456000,60,124
1584384756000,67,102
1584385056000,72,95
1584435871000,74,35
1584436171000,68,74
1584436471000,63,93
1584436771000,65,78
1584437071000,65,81
1584437371000,61,103
1584437671000,62,100
1584437971000,63,96
1584438271000,61,101
1584438571000,63,99
1584438871000,64,93
1584439171000,68,81
1584439471000,69,49
1584439771000,64,100
1584440071000,64,94
1584440371000,56,143
1584440671000,56,149
1584440971000,55,150
1584441271000,55,159
1584441571000,57,121
1584441871000,57,123
1584442171000,57,112
