timestamp,heart_rate,heart_rmssd
1579766791000,0,0
1579767091000,0,0
1579767391000,0,0
1579767691000,55,82
1579767991000,55,82
1579768291000,54,83
1579768591000,56,60
1579768891000,0,0
1579769191000,0,0
1579769491000,56,63
1579769791000,54,81
1579770091000,54,85
1579770391000,55,83
1579770691000,56,97
1579770991000,60,87
1579771291000,66,45
1579771591000,65,49
1579771891000,68,26
1579772191000,69,24
1579772491000,66,26
1579772791000,65,32
1579773091000,63,39
1579773391000,61,43
1579773691000,60,55
1579773991000,57,73
1579774291000,56,94
1579774591000,55,97
1579774891000,59,91
1579775191000,63,57
1579775491000,58,84
1579775791000,58,99
1579776091000,57,97
1579776391000,58,113
1579776691000,52,131
1579776991000,52,120
1579777291000,54,133
1579777591000,53,123
1579777891000,58,94
1579778191000,59,72
1579778491000,59,67
1579778791000,59,64
1579779091000,58,86
1579779391000,59,62
1579779691000,58,90
1579779991000,56,94
1579780291000,55,106
1579780591000,55,87
1579780891000,52,88
1579781191000,51,71
1579781491000,50,102
1579781791000,51,116
1579782091000,49,124
1579782391000,51,131
1579782691000,50,160
1579782991000,50,122
1579783291000,54,112
1579783591000,56,98
1579783891000,63,63
1579784191000,61,78
1579784491000,57,103
1579784791000,58,92
1579785091000,60,90
1579785391000,62,103
1579785691000,62,87
1579785991000,60,84
1579786291000,56,103
1579786591000,55,88
1579786891000,55,101
1579787191000,53,88
1579787491000,52,92
1579787791000,54,92
1579788091000,53,102
1579788391000,55,111
1579788691000,58,105
1579788991000,55,92
1579789291000,59,90
1579789591000,59,87
1579789891000,59,73
1579790191000,60,86
1579790491000,60,71
1579790791000,57,78
1579791091000,58,82
1579791391000,56,80
1579791691000,0,0
1579866570000,0,0
1579866870000,0,0
1579867170000,0,0
1579867470000,0,0
1579867770000,52,56
1579868070000,52,55
1579868370000,53,54
1579868670000,53,57
1579868970000,53,59
1579869270000,53,56
1579869570000,54,60
1579869870000,56,66
1579870170000,56,51
1579870470000,56,59
1579870770000,59,72
1579871070000,59,77
1579871370000,62,68
1579871670000,60,58
1579871970000,62,88
1579872270000,60,75
1579872570000,59,67
1579872870000,64,54
1579873170000,59,56
1579873470000,57,78
1579873770000,54,84
1579874070000,55,92
1579874370000,53,91
1579874670000,53,94
1579874970000,53,92
1579875270000,55,85
1579875570000,54,91
1579875870000,0,0
1579876170000,57,68
1579876470000,54,60
1579876770000,53,61
1579877070000,54,60
1579877370000,57,59
1579877670000,55,82
1579877970000,55,58
1579878270000,57,58
1579878570000,64,48
1579878870000,64,57
1579879170000,64,61
1579879470000,65,66
1579879770000,62,62
1579880070000,63,62
1579880370000,58,70
1579880670000,58,70
1579880970000,58,67
1579881270000,60,64
1579881570000,56,56
1579881870000,57,60
1579882170000,57,68
1579882470000,56,70
1579882770000,59,67
1579883070000,57,60
1579883370000,0,0
1579883670000,63,59
1579883970000,61,72
1579884270000,65,85
1579884570000,64,84
1579884870000,70,44
1579885170000,61,60
1579885470000,57,61
1579885770000,55,61
1579886070000,54,80
1579886370000,51,77
1579886670000,53,90
1579886970000,51,77
1579887270000,53,82
1579887570000,0,0
1579887870000,0,0
1579888170000,0,0
1579888470000,54,63
1579888770000,54,66
1579889070000,55,72
1579889370000,62,51
1579889670000,62,50
1579889970000,62,47
1579890270000,62,64
1579890570000,59,53
1579890870000,61,63
1579891170000,56,55
1579891470000,57,71
1579891770000,56,63
1579892070000,54,78
1579892370000,55,70
1579892670000,59,80
1579892970000,60,71
1579893270000,59,60
1579893570000,60,81
1579893870000,70,53
1579894170000,63,65
1579894470000,61,72
1579894770000,61,73
1579895070000,57,112
1579895370000,52,98
1579895670000,52,87
1579895970000,53,84
1579956644000,55,116
1579956944000,55,104
1579957244000,55,106
1579957544000,56,106
1579957844000,56,93
1579958144000,58,90
1579958444000,58,61
1579958744000,54,61
1579959044000,54,87
1579959344000,56,76
1579959644000,55,95
1579959944000,57,101
1579960244000,58,93
1579960544000,61,44
1579960844000,65,28
1579961144000,64,33
1579961444000,62,49
1579961744000,62,50
1579962044000,61,57
1579962344000,63,42
1579962644000,61,43
1579962944000,60,41
1579963244000,60,36
1579963544000,62,67
1579963844000,60,82
1579964144000,60,88
1579964444000,62,78
1579964744000,60,69
1579965044000,58,71
1579965344000,57,79
1579965644000,58,61
1579965944000,58,54
1579966244000,59,53
1579966544000,64,57
1579966844000,64,46
1579967144000,64,49
1579967444000,63,55
1579967744000,63,58
1579968044000,63,43
1579968344000,61,42
1579968644000,60,39
1579968944000,62,54
1579969244000,58,109
1579969544000,59,97
1579969844000,60,94
1579970144000,60,87
1579970444000,59,70
1579970744000,55,79
1579971044000,60,67
1579971344000,60,58
1579971644000,57,109
1579971944000,61,74
1579972244000,60,65
1579972544000,59,75
1579972844000,59,72
1579973144000,66,43
1579973444000,63,69
1579973744000,68,56
1579974044000,67,54
1579974344000,64,62
1579974644000,67,55
1579974944000,66,49
1579975244000,63,57
1579975544000,59,59
1579975844000,62,58
1579976144000,56,104
1579976444000,58,106
1579976744000,56,52
1579977044000,68,56
1580031093000,52,63
1580031393000,53,74
1580031693000,54,78
1580031993000,55,89
1580032293000,57,82
1580032593000,55,59
1580032893000,55,56
1580033193000,54,67
1580033493000,55,73
1580033793000,55,68
1580034093000,54,53
1580034393000,56,71
1580034693000,61,52
1580034993000,65,35
1580035293000,63,36
1580035593000,61,46
1580035893000,57,71
1580036193000,56,68
1580036493000,57,63
1580036793000,55,66
1580037093000,59,64
1580037393000,58,50
1580037693000,57,59
1580037993000,58,69
1580038293000,58,72
1580038593000,59,60
1580038893000,58,66
1580039193000,60,63
1580039493000,58,88
1580039793000,64,36
1580040093000,63,34
1580040393000,63,56
1580040693000,61,61
1580040993000,63,62
1580041293000,64,63
1580041593000,63,54
1580041893000,61,51
1580042193000,61,57
1580042493000,61,52
1580042793000,59,54
1580043093000,56,65
1580043393000,53,43
1580043693000,52,75
1580043993000,53,81
1580044293000,54,63
1580044593000,57,93
1580044893000,51,51
1580045193000,54,59
1580045493000,54,65
1580045793000,58,75
1580046093000,63,45
1580046393000,63,44
1580046693000,65,48
1580046993000,63,37
1580047293000,64,50
1580047593000,62,57
1580047893000,63,36
1580048193000,63,31
1580048493000,60,42
1580048793000,60,38
1580049093000,58,55
1580049393000,57,64
1580049693000,57,72
1580049993000,56,71
1580050293000,56,69
1580050593000,59,81
1580050893000,58,73
1580051193000,58,68
1580051493000,64,37
1580051793000,65,40
1580052093000,68,23
1580052393000,83,34
1580052693000,66,35
1580052993000,65,41
1580053293000,65,32
1580053593000,66,29
1580053893000,67,37
1580054193000,64,52
1580054493000,62,46
1580054793000,62,50
