timestamp,heart_rate,heart_rmssd
1596969773000,0,0
1596970073000,0,0
1596970373000,0,0
1596970673000,55,75
1596970973000,54,85
1596971273000,51,104
1596971573000,50,100
1596971873000,50,117
1596972173000,50,84
1596972473000,49,108
1596972773000,49,129
1596973073000,49,130
1596973373000,51,98
1596973673000,52,87
1596973973000,54,134
1596974273000,58,78
1596974573000,58,83
1596974873000,55,93
1596975173000,56,83
1596975473000,57,87
1596975773000,54,108
1596976073000,50,84
1596976373000,48,122
1596976673000,47,140
1596976973000,46,120
1596977273000,46,126
1596977573000,47,70
1596977873000,49,150
1596978173000,47,126
1596978473000,45,129
1596978773000,47,157
1596979073000,45,128
1596979373000,45,149
1596979673000,45,143
1596979973000,45,150
1596980273000,46,135
1596980573000,55,73
1596980873000,56,90
1596981173000,51,83
1596981473000,50,87
1596981773000,50,94
1596982073000,51,101
1596982373000,49,110
1596982673000,48,94
1596982973000,47,96
1596983273000,44,127
1596983573000,44,122
1596983873000,44,137
1596984173000,44,141
1596984473000,44,147
1596984773000,45,163
1596985073000,45,178
1596985373000,45,153
1596985673000,47,148
1596985973000,48,151
1596986273000,50,115
1596986573000,48,125
1596986873000,48,117
1596987173000,47,132
1596987473000,47,111
1596987773000,45,145
1596988073000,49,113
1596988373000,47,119
1596988673000,46,107
1596988973000,48,108
1596989273000,46,114
1596989573000,45,108
1596989873000,47,124
1596990173000,49,115
1596990473000,48,90
1596990773000,50,93
1596991073000,53,88
1596991373000,51,94
1596991673000,51,84
1596991973000,53,67
1596992273000,53,81
1596992573000,49,109
1596992873000,47,95
1596993173000,46,82
1596993473000,48,74
1596993773000,48,64
1596994073000,48,65
1596994373000,48,74
1596994673000,49,101
1596994973000,50,95
1596995273000,45,146
1596995573000,48,97
1596995873000,46,133
1596996173000,49,74
1596996473000,48,85
1596996773000,47,86
1596997073000,48,97
1596997373000,50,96
1596997673000,53,76
1596997973000,57,91
1596998273000,55,67
1596998573000,56,70
1596998873000,52,85
1596999173000,51,103
1596999473000,50,97
1597044158000,65,49
1597044458000,0,0
1597044758000,63,37
1597045058000,59,56
1597045358000,55,72
1597045658000,54,81
1597045958000,54,79
1597046258000,54,67
1597046558000,56,81
1597046858000,64,36
1597047158000,64,38
1597047458000,65,30
1597047758000,61,44
1597048058000,62,43
1597048358000,60,42
1597048658000,62,28
1597048958000,65,31
1597049258000,67,27
1597049558000,64,37
1597049858000,61,37
1597050158000,0,0
1597050458000,0,0
1597050758000,58,62
1597051058000,60,48
1597051358000,62,36
1597051658000,61,43
1597051958000,58,61
1597052258000,57,74
1597052558000,56,69
1597052858000,55,66
1597053158000,55,76
1597053458000,54,87
1597053758000,56,58
1597054058000,55,77
1597054358000,55,88
1597054658000,50,99
1597054958000,50,60
1597055258000,50,78
1597055558000,49,87
1597055858000,50,44
1597056158000,54,66
1597056458000,55,67
1597056758000,60,66
1597057058000,58,64
1597057358000,59,39
1597057658000,55,40
1597057958000,54,60
1597058258000,53,73
1597058558000,53,69
1597058858000,52,77
1597059158000,52,77
1597059458000,51,97
1597059758000,51,129
1597060058000,51,93
1597060358000,53,49
1597060658000,52,57
1597060958000,51,55
1597061258000,50,108
1597061558000,50,119
1597061858000,49,134
1597062158000,52,66
1597062458000,50,122
1597062758000,50,116
1597063058000,49,120
1597063358000,49,134
1597063658000,53,62
1597063958000,53,115
1597064258000,50,100
1597064558000,56,98
1597064858000,54,106
1597065158000,48,118
1597065458000,53,109
